"name","data_type","unit","description","ucd","order","principal"
"u_hsm_moments_22","float","","HSM higher-order moment 22. Measured on u-band.","","",""
"u_hsm_moments_30","float","","HSM higher-order moment 30. Measured on u-band.","","",""
"u_hsm_moments_31","float","","HSM higher-order moment 31. Measured on u-band.","","",""
"u_hsm_moments_40","float","","HSM higher-order moment 40. Measured on u-band.","","",""
"u_hsm_moments_flag","boolean","","Flag set for any failure in the HSM higher-order moments. Measured on u-band.","","",""
"u_hsm_momentsPsf_03","float","","HSM higher-order moment 03 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_04","float","","HSM higher-order moment 04 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_12","float","","HSM higher-order moment 12 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_13","float","","HSM higher-order moment 13 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_21","float","","HSM higher-order moment 21 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_22","float","","HSM higher-order moment 22 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_30","float","","HSM higher-order moment 30 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_31","float","","HSM higher-order moment 31 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_40","float","","HSM higher-order moment 40 measured on the PSF model at the position of the object. Measured on u-band.","","",""
"u_hsm_momentsPsf_flag","boolean","","Flag set for any failure in the HSM higher-order moment on the PSF model. Measured on u-band.","","",""
"u_hsmShapeRegauss_e1","float","","PSF-corrected shear using the Hirata & Seljak (2003) Regaussianization algorithm. Measured on u-band.","","",""
"u_hsmShapeRegauss_e2","float","","PSF-corrected shear using the Hirata & Seljak (2003) Regaussianization algorithm. Measured on u-band.","","",""
"u_hsmShapeRegauss_flag","boolean","","Flag set for any failure with the Regaussianziation shapes. Measured on u-band.","","",""
"u_hsmShapeRegauss_sigma","float","","PSF-corrected shear using the Hirata & Seljak (2003) Regaussianization algorithm. Measured on u-band.","","",""
"u_i_flag","boolean","","General failure flag, set if anything went wrong. Measured on u-band.","","",""
"u_iDebiasedPSF_flag","boolean","","Flag set for any failure in the debiased PSF model moments. Measured on u-band.","","",""
"u_inputCount","int","","Number of images contributing at center, not including any clipping. Forced on u-band.","","",""
"u_inputCount_flag","boolean","","Flag set for any failure in computing the number of inputs. Forced on u-band.","","",""
"u_inputCount_flag_noInputs","boolean","","No coadd inputs were recorded. Forced on u-band.","","",""
"u_invalidPsfFlag","boolean","","This object has an invalid PSF (usually no inputs). Measured on u-band.","","",""
"u_iPSF_flag","boolean","","Flag set for any failure in the PSF model moments. Measured on u-band.","","",""
"u_iRound_flag","boolean","","Flag set for any failure in the round moments. Measured on u-band.","","",""
"u_ixx","float","pixel**2","Gaussian-weighted adaptive moments. Measured on u-band.","","",""
"u_ixxDebiasedPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of the object, with synthetic noise added to match S/N with the object. Measured on u-band.","","",""
"u_ixxPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of this object. Measured on u-band.","","",""
"u_ixxRound","float","pixel**2","Adaptive moments using an isotropic Gaussian weight function. Measured on u-band.","","",""
"u_ixy","float","pixel**2","Gaussian-weighted adaptive moments. Measured on u-band.","","",""
"u_ixyDebiasedPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of the object, with synthetic noise added to match S/N with the object. Measured on u-band.","","",""
"u_ixyPSF","float","pixel**2","Gaussian-weighted adaptive moments. Measured on u-band.","","",""
"u_ixyRound","float","pixel**2","Adaptive moments using an isotropic Gaussian weight function. Measured on u-band.","","",""
"u_iyy","float","pixel**2","Gaussian-weighted adaptive moments. Measured on u-band.","","",""
"u_iyyDebiasedPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of the object, with synthetic noise added to match S/N with the object. Measured on u-band.","","",""
"u_iyyPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of this object. Measured on u-band.","","",""
"u_iyyRound","float","pixel**2","Adaptive moments using an isotropic Gaussian weight function. Measured on u-band.","","",""
"u_kronFlux","float","nJy","Flux measured within an elliptical aperture 2.5 times the Kron radius.  Measured on u-band.","","",""
"u_kronFlux_flag","boolean","","Flag set for any failure in the Kron photometry. Measured on u-band.","","",""
"u_kronFlux_flag_bad_radius","boolean","","Bad Kron radius. Measured on u-band.","","",""
"u_kronFlux_flag_bad_shape","boolean","","Shape for measuring Kron radius is bad; used PSF shape. Measured on u-band.","","",""
"u_kronFlux_flag_bad_shape_no_psf","boolean","","Bad shape and no PSF. Measured on u-band.","","",""
"u_kronFlux_flag_edge","boolean","","Bad measurement due to image edge. Measured on u-band.","","",""
"u_kronFlux_flag_no_fallback_radius","boolean","","No minimum radius and no PSF provided. Measured on u-band.","","",""
"u_kronFlux_flag_no_minimum_radius","boolean","","Minimum radius could not enforced, no minimum value or PSF. Measured on u-band.","","",""
"u_kronFlux_flag_small_radius","boolean","","Measured Kron radius was smaller than that of the PSF. Measured on u-band.","","",""
"u_kronFlux_flag_used_minimum_radius","boolean","","Used the minimum radius for the Kron radius. Measured on u-band.","","",""
"u_kronFlux_flag_used_psf_radius","boolean","","Kron radius fell back to being derived from the PSF radius. Measured on u-band.","","",""
"u_kronFluxErr","float","nJy","Flux uncertainty from Kron Flux algorithm. Measured on u-band.","","",""
"u_kronRad","float","","Kron radius (sqrt(a*b)).  Measured on u-band.","","",""
"u_pixelFlags_bad","boolean","","Deprecated; only set when there is no u-band data.","","",""
"u_pixelFlags_clipped","boolean","","Artifacts were rejected by warp comparison in this object's footprint. Measured on u-band.","","",""
"u_pixelFlags_clippedCenter","boolean","","Artifacts were rejected by warp comparison in this object's center. Measured on u-band.","","",""
"u_pixelFlags_cr","boolean","","A cosmic ray was detected and interpolated in this object's footprint. Measured on u-band.","","",""
"u_pixelFlags_crCenter","boolean","","A cosmic ray was detected and interpolated in this object's center. Measured on u-band.","","",""
"u_pixelFlags_edge","boolean","","Deprecated; only set when there is no u-band data.","","",""
"u_pixelFlags_inexact_psf","boolean","","The PSF model is discontinuous in this object's footprint. Measured on u-band.","","",""
"u_pixelFlags_inexact_psfCenter","boolean","","The PSF model is discontinuosu near this object's center. Measured on u-band.","","",""
"u_pixelFlags_interpolated","boolean","","An interpolated pixel contributed to the coadd in this object's footprint. Measured on u-band.","","",""
"u_pixelFlags_interpolatedCenter","boolean","","An interpolated pixel contributed to the coadd near this object's center. Measured on u-band.","","",""
"u_pixelFlags_nodata","boolean","","No pixel data was available in this band for this object. Measured on u-band.","","",""
"u_pixelFlags_offimage","boolean","","Deprecated; only set when there is no u-band data.","","",""
"u_pixelFlags_saturated","boolean","","Saturated pixels were rejected from this object's footprint, but would otherwise have contributed more than 10% of at least one pixel. Measured on u-band.","","",""
"u_pixelFlags_saturatedCenter","boolean","","Saturated pixels were rjected from near this object's center, but would otherwise have contributed more than 10% of at least one pixel. Measured on u-band.","","",""
"u_pixelFlags_sensor_edge","boolean","","A detector boundary passed through this object's footprint. Measured on u-band.","","",""
"u_pixelFlags_sensor_edgeCenter","boolean","","A detector boundary passed close to this object's center. Measured on u-band.","","",""
"u_pixelFlags_suspect","boolean","","Deprecated; only set when there is no u-band data.","","",""
"u_pixelFlags_suspectCenter","boolean","","Deprecated; only set when there is no u-band data.","","",""
"u_psfFlux","float","nJy","Flux derived from using the PSF model as a weight function. Forced on u-band.","","",""
"u_psfFlux_area","float","pixel","Effective area of PSF. Forced on u-band.","","",""
"u_psfFlux_flag","boolean","","General Failure Flag. Forced on u-band.","","",""
"u_psfFlux_flag_apCorr","boolean","","Flag set if unable to aperture-correct the PSF flux. Forced on u-band.","","",""
"u_psfFlux_flag_edge","boolean","","Object was too close to the edge of the image to use the full PSF model. Forced on u-band.","","",""
"u_psfFlux_flag_noGoodPixels","boolean","","Not enough non-rejected pixels in data to attempt the fit. Forced on u-band.","","",""
"u_psfFluxErr","float","nJy","Flux uncertainty derived from using the PSF model as a weight function. Forced on u-band.","","",""
"u_psfMag","float","mag","AB magnitude of the u-band psfFlux.","","","1"
"u_psfMagErr","float","mag","Uncertainty in magnitudes of the u-band psfFlux.","","","1"
"u_psfModel_TwoGaussian_chisq_reduced","float","","Reduced chi-squared of the best-fit model parameters (chi divided the number of data points) for the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_gauss1_fluxfrac","float","","Fraction of the total flux (normalized to unity) of the first Gaussian component in the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_gauss1_rho","float","","Ellipse rho (correlation coefficient) of the first Gaussian component in the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_gauss1_sigma_x","float","pixel","Standard deviation of the first Gaussian component (x-axis) in the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_gauss1_sigma_y","float","pixel","Standard deviation of the first Gaussian component (y-axis) in the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_gauss2_rho","float","","Ellipse rho (correlation coefficient) of the second Gaussian component in the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_gauss2_sigma_x","float","pixel","Standard deviation of the second Gaussian component (x-axis) in the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_gauss2_sigma_y","float","pixel","Standard deviation of the second Gaussian component (y-axis) in the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_n_iter","int","","Number of iterations in the non-linear fit for the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_no_inputs_flag","boolean","","Flag set for objects not fit because there were no coadd PSF inputs for the two-Gaussian PSF model (u-band).","","",""
"u_psfModel_TwoGaussian_unknown_flag","boolean","","Flag set for failures with an unexpected or unknown cause for the two-Gaussian PSF model (u-band).","","",""
"u_ra","double","deg","Position in right ascension, measured on u-band.","pos.eq.ra","",""
"u_ra_dec_Cov","float","deg**2","Covariance between right ascension and declination, measured on u-band.","stat.covariance;pos.eq.ra;pos.eq.dec","",""
"u_raErr","float","deg","Error in right ascension, measured on u-band.","stat.error;pos.eq.ra","",""
"u_sersicFlux","float","nJy","u-band flux from the multiband Sersic model fit.","","",""
"u_sersicFluxErr","float","nJy","Error on the u-band flux from the multiband Sersic model fit.","","",""
"u_sizeExtendedness","float","","Moments-based measure of whether an object is point-like (0) or extended (1). Measured on u-band.","","",""
"u_sizeExtendedness_flag","boolean","","Flag set for any failure in the moments-based extendedness. Measured on u-band.","","",""
"x","double","pixel","Centroid from the SDSS centroid algorithm. Reference band.","","",""
"xErr","float","pixel","1-sigma uncertainty on x position. Reference band.","","",""
"xy_flag","boolean","","General Failure Flag. Reference band.","","",""
"y","double","pixel","Centroid from the SDSS centroid algorithm. Reference band.","","",""
"y_ap03Flux","float","nJy","Flux within 3.0-pixel aperture. Forced on y-band.","","",""
"y_ap03Flux_flag","boolean","","Flag set for any failure with the 3.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap03FluxErr","float","nJy","Flux uncertainty within 3.0-pixel aperture. Forced on y-band.","","",""
"y_ap06Flux","float","nJy","Flux within 6.0-pixel aperture. Forced on y-band.","","",""
"y_ap06Flux_flag","boolean","","Flag set for any failure with the 6.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap06FluxErr","float","nJy","Flux uncertainty within 6.0-pixel aperture. Forced on y-band.","","",""
"y_ap09Flux","float","nJy","Flux within 9.0-pixel aperture. Forced on y-band.","","",""
"y_ap09Flux_flag","boolean","","Flag set for any failure with the 9.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap09FluxErr","float","nJy","Flux uncertainty within 9.0-pixel aperture. Forced on y-band.","","",""
"y_ap12Flux","float","nJy","Flux within 12.0-pixel aperture. Forced on y-band.","","",""
"y_ap12Flux_flag","boolean","","Flag set for any failure with the 12.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap12FluxErr","float","nJy","Flux uncertainty within 12.0-pixel aperture. Forced on y-band.","","",""
"y_ap17Flux","float","nJy","Flux within 17.0-pixel aperture. Forced on y-band.","","",""
"y_ap17Flux_flag","boolean","","Flag set for any failure with the 17.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap17FluxErr","float","nJy","Flux uncertainty within 17.0-pixel aperture. Forced on y-band.","","",""
"y_ap25Flux","float","nJy","Flux within 25.0-pixel aperture. Forced on y-band.","","",""
"y_ap25Flux_flag","boolean","","Flag set for any failure with the 25.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap25FluxErr","float","nJy","Flux uncertainty within 25.0-pixel aperture. Forced on y-band.","","",""
"y_ap35Flux","float","nJy","Flux within 35.0-pixel aperture. Forced on y-band.","","",""
"y_ap35Flux_flag","boolean","","Flag set for any failure with the 35.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap35FluxErr","float","nJy","Flux uncertainty within 35.0-pixel aperture. Forced on y-band.","","",""
"y_ap50Flux","float","nJy","Flux within 50.0-pixel aperture. Forced on y-band.","","",""
"y_ap50Flux_flag","boolean","","Flag set for any failure with the 50.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap50FluxErr","float","nJy","Flux uncertainty within 50.0-pixel aperture. Forced on y-band.","","",""
"y_ap70Flux","float","nJy","Flux within 70.0-pixel aperture. Forced on y-band.","","",""
"y_ap70Flux_flag","boolean","","Flag set for any failure with the 70.0-pixel aperture flux. Forced on y-band.","","",""
"y_ap70FluxErr","float","nJy","Flux uncertainty within 70.0-pixel aperture. Forced on y-band.","","",""
"y_apFlux_flag","boolean","","Duplicate of y_ap12Flux_flag.","","",""
"y_apFlux_flag_apertureTruncated","boolean","","Duplicate of y_ap12Flux_flag_apertureTruncated.","","",""
"y_apFlux_flag_sincCoeffsTruncated","boolean","","Duplicate of y_ap12Flux_flag_sincCoeffsTruncated. Measured on y-band.","","",""
"y_bdChi2","float","","-ln(likelihood) (chi^2) in CModel fit. Measured on y-band.","","",""
"y_bdE1","float","pixel**2","Flux-weighted average of exponential and de Vaucouleurs ellipticities. Measured on y-band.","","",""
"y_bdE2","float","pixel**2","Flux-weighted average of exponential and de Vaucouleurs ellipticities. Measured on y-band.","","",""
"y_bdFluxB","float","nJy","Flux from the de Vaucouleurs fit. Measured on y-band.","","",""
"y_bdFluxBErr","float","nJy","Flux uncertainty from the de Vaucouleurs fit. Measured on y-band.","","",""
"y_bdFluxD","float","nJy","Flux from the exponential fit. Measured on y-band.","","",""
"y_bdFluxDErr","float","nJy","Flux uncertainty from the exponential fit. Measured on y-band.","","",""
"y_bdReB","float","pixel**2","Half-light ellipse of the de Vaucouleurs fit. Measured on y-band.","","",""
"y_bdReD","float","pixel**2","Half-light ellipse of the exponential fit. Measured on y-band.","","",""
"y_blendedness","float","","Measure of how much the flux is affected by neighbors, (1 - child_flux/parent_flux).  Operates on the absolute value of the pixels to try to obtain a de-noised value.  See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details. Measured on y-band.","","",""
"y_blendedness_flag","boolean","","Flag set for any failure in the blendedness algorithm. Measured on y-band.","","",""
"y_calib_astrometry_used","boolean","","Propagated from sources. Measured on y-band.","","",""
"y_calib_photometry_reserved","boolean","","Propagated from sources. Measured on y-band.","","",""
"y_calib_photometry_used","boolean","","Propagated from sources. Measured on y-band.","","",""
"y_calib_psf_candidate","boolean","","Propagated from sources. Measured on y-band.","","",""
"y_calib_psf_reserved","boolean","","Propagated from sources. Measured on y-band.","","",""
"y_calib_psf_used","boolean","","Propagated from sources. Measured on y-band.","","",""
"y_calibFlux","float","nJy","Duplicate of y_ap12Flux.","","",""
"y_calibFlux_flag","boolean","","Duplicate of y_ap12Flux_flag.","","",""
"y_calibFlux_flag_apertureTruncated","boolean","","Duplicate of y_ap12Flux_flag_apertureTruncated.","","",""
"y_calibFlux_flag_sincCoeffsTruncated","boolean","","Duplicate of y_ap12Flux_flag_sincCoeffsTruncated. Measured on y-band.","","",""
"y_calibFluxErr","float","nJy","Duplicate of y_ap12FluxErr.","","",""
"y_centroid_flag","boolean","","Flag set for any failure in the centroid algorithm. Measured on y-band.","","",""
"y_centroid_x","double","pixel","Centroid from the SDSS centroid algorithm. Measured on y-band.","","",""
"y_centroid_xErr","float","pixel","1-sigma uncertainty on x position. Measured on y-band.","","",""
"y_centroid_y","double","pixel","Centroid from the SDSS centroid algorithm. Measured on y-band.","","",""
"y_centroid_yErr","float","pixel","1-sigma uncertainty on y position. Measured on y-band.","","",""
"y_cModel_flag","boolean","","Flag set if the final CModel fit (or any previous fit) failed. Forced on y-band.","","",""
"y_cModel_flag_apCorr","boolean","","Flag set if unable to aperture-correct the CModel flux. Forced on y-band.","","",""
"y_cModelFlux","float","nJy","Flux from the final CModel fit. Forced on y-band.","","",""
"y_cModelFlux_inner","float","nJy","Flux within the fit region, with no extrapolation. Forced on y-band.","","",""
"y_cModelFluxErr","float","nJy","Flux uncertainty from the final CModel fit. Forced on y-band.","","",""
"y_cModelMag","float","mag","AB magnitude of cModelFlux. Forced on y-band.","","","1"
"y_cModelMagErr","float","mag","Uncertainty in magnitudes on cModelFlux. Forced on y-band.","","","1"
"y_deblend_blendedness","float","","Blendedness in the deconvolved scarlet space.","","",""
"y_deblend_dataCoverage","float","","Fraction of data that contained good data, ie. 1 - number of no data pixels/total number of pixels in the y-band.","","",""
"y_deblend_fluxOverlap","float","","The total flux from neighboring objects that overlaps with this sources footprint in the deconvolved space.","","",""
"y_deblend_fluxOverlapFraction","float","","Fraction of flux from neighbors / source flux in the deconvolved footprint.","","",""
"y_deblend_zeroFlux","boolean","","True when there was no flux attributed to this object after flux redistribution in the deblender.","","",""
"y_dec","double","deg","Position in declination, measured on y-band.","pos.eq.dec","",""
"y_decErr","float","deg","Error in declination, measured on y-band.","stat.error;pos.eq.dec","",""
"y_epoch","double","d","Mean epoch of the object in the y-band coadd in MJD TAI","","",""
"y_extendedness","float","","Flux-ratio measure of whether an object is point-like (0) or extended (1). Measured on y-band.","","",""
"y_extendedness_flag","boolean","","Flag set for any failure in the flux-ratio extendedness. Measured on y-band.","","",""
"y_free_cModelFlux","float","nJy","Flux from the final CModel fit. Measured on y-band.","","",""
"y_free_cModelFlux_flag","boolean","","Flag set if the final CModel fit (or any previous fit) failed. Measured on y-band.","","",""
"y_free_cModelFlux_inner","float","nJy","Flux within the fit region, with no extrapolation. Measured on y-band.","","",""
"y_free_cModelFluxErr","float","nJy","Flux uncertainty from the final CModel fit. Measured on y-band.","","",""
"y_free_psfFlux","float","nJy","Flux derived from using the PSF model as a weight function. Measured on y-band.","","",""
"y_free_psfFlux_flag","boolean","","Flag set if the unforced PSF flux failed in this band for any reason. Measured on y-band.","","",""
"y_free_psfFluxErr","float","nJy","Flux uncertainty derived from using the PSF model as a weight function. Measured on y-band.","","",""
"y_gaap0p7Flux","float","nJy","GAaP Flux with 0.7 arcsec aperture after reconvolving the image to a Gaussian PSF larger than the original by a factor of 1.15. Forced on y-band.","","",""
"y_gaap0p7Flux_flag_bigPsf","boolean","","The Gaussianized PSF is bigger than the aperture. Forced on y-band.","","",""
"y_gaap0p7FluxErr","float","nJy","GAaP Flux uncertainty with 0.7 arcsec aperture after multiplying the seeing by 1.15. Forced on y-band.","","",""
"y_gaap1p0Flux","float","nJy","GAaP Flux with 1.0 arcsec aperture after reconvolving the image to a Gaussian PSF larger than the original by a factor of 1.15. Forced on y-band.","","",""
"y_gaap1p0Flux_flag_bigPsf","boolean","","The Gaussianized PSF is bigger than the aperture. Forced on y-band.","","",""
"y_gaap1p0FluxErr","float","nJy","GAaP Flux uncertainty with 1.0 arcsec aperture after multiplying the seeing by 1.15. Forced on y-band.","","",""
"y_gaap1p5Flux","float","nJy","GAaP Flux with 1.5 arcsec aperture after reconvolving the image to a Gaussian PSF larger than the original by a factor of 1.15. Forced on y-band.","","",""
"y_gaap1p5Flux_flag_bigPsf","boolean","","The Gaussianized PSF is bigger than the aperture. Forced on y-band.","","",""
"y_gaap1p5FluxErr","float","nJy","GAaP Flux uncertainty with 1.5 arcsec aperture after multiplying the seeing by 1.15. Forced on y-band.","","",""
"y_gaap2p5Flux","float","nJy","GAaP Flux with 2.5 arcsec aperture after reconvolving the image to a Gaussian PSF larger than the original by a factor of 1.15. Forced on y-band.","","",""
"y_gaap2p5Flux_flag_bigPsf","boolean","","The Gaussianized PSF is bigger than the aperture. Forced on y-band.","","",""
"y_gaap2p5FluxErr","float","nJy","GAaP Flux uncertainty with 2.5 arcsec aperture after multiplying the seeing by 1.15. Forced on y-band.","","",""
"y_gaap3p0Flux","float","nJy","GAaP Flux with 3.0 arcsec aperture after reconvolving the image to a Gaussian PSF larger than the original by a factor of 1.15. Forced on y-band.","","",""
"y_gaap3p0Flux_flag_bigPsf","boolean","","The Gaussianized PSF is bigger than the aperture. Forced on y-band.","","",""
"y_gaap3p0FluxErr","float","nJy","GAaP Flux uncertainty with 3.0 arcsec aperture after multiplying the seeing by 1.15. Forced on y-band.","","",""
"y_gaapFlux_flag","boolean","","Flag set for any failure in the GAaP photometry. Forced on y-band.","","",""
"y_gaapFlux_flag_edge","boolean","","Source is too close to the edge. Forced on y-band.","","",""
"y_gaapFlux_flag_gaussianization","boolean","","PSF Gaussianization failed when trying to scale by this factor. Forced on y-band.","","",""
"y_gaapOptimalFlux","float","nJy","GAaP Flux with optimal aperture after reconvolving the image to a Gaussian PSF larger than the original by a factor of 1.15. Forced on y-band.","","",""
"y_gaapOptimalFlux_flag_bigPsf","boolean","","The Gaussianized PSF is bigger than the aperture. Forced on y-band.","","",""
"y_gaapOptimalFluxErr","float","nJy","GAaP Flux uncertainty with optimal aperture after multiplying the seeing by 1.15. Forced on y-band.","","",""
"y_gaapPsfFlux","float","nJy","GAaP Flux with PSF aperture after reconvolving the image to a Gaussian PSF larger than the original by a factor of 1.15. Forced on y-band.","","",""
"y_gaapPsfFluxErr","float","nJy","GAaP Flux uncertainty with PSF aperture after multiplying the seeing by 1.15. Forced on y-band.","","",""
"y_hsm_moments_03","float","","HSM higher-order moment 03. Measured on y-band.","","",""
"y_hsm_moments_04","float","","HSM higher-order moment 04. Measured on y-band.","","",""
"y_hsm_moments_12","float","","HSM higher-order moment 12. Measured on y-band.","","",""
"y_hsm_moments_13","float","","HSM higher-order moment 13. Measured on y-band.","","",""
"y_hsm_moments_21","float","","HSM higher-order moment 21. Measured on y-band.","","",""
"y_hsm_moments_22","float","","HSM higher-order moment 22. Measured on y-band.","","",""
"y_hsm_moments_30","float","","HSM higher-order moment 30. Measured on y-band.","","",""
"y_hsm_moments_31","float","","HSM higher-order moment 31. Measured on y-band.","","",""
"y_hsm_moments_40","float","","HSM higher-order moment 40. Measured on y-band.","","",""
"y_hsm_moments_flag","boolean","","Flag set for any failure in the HSM higher-order moments. Measured on y-band.","","",""
"y_hsm_momentsPsf_03","float","","HSM higher-order moment 03 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_04","float","","HSM higher-order moment 04 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_12","float","","HSM higher-order moment 12 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_13","float","","HSM higher-order moment 13 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_21","float","","HSM higher-order moment 21 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_22","float","","HSM higher-order moment 22 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_30","float","","HSM higher-order moment 30 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_31","float","","HSM higher-order moment 31 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_40","float","","HSM higher-order moment 40 measured on the PSF model at the position of the object. Measured on y-band.","","",""
"y_hsm_momentsPsf_flag","boolean","","Flag set for any failure in the HSM higher-order moment on the PSF model. Measured on y-band.","","",""
"y_hsmShapeRegauss_e1","float","","PSF-corrected shear using the Hirata & Seljak (2003) Regaussianization algorithm. Measured on y-band.","","",""
"y_hsmShapeRegauss_e2","float","","PSF-corrected shear using the Hirata & Seljak (2003) Regaussianization algorithm. Measured on y-band.","","",""
"y_hsmShapeRegauss_flag","boolean","","Flag set for any failure with the Regaussianziation shapes. Measured on y-band.","","",""
"y_hsmShapeRegauss_sigma","float","","PSF-corrected shear using the Hirata & Seljak (2003) Regaussianization algorithm. Measured on y-band.","","",""
"y_i_flag","boolean","","General failure flag, set if anything went wrong. Measured on y-band.","","",""
"y_iDebiasedPSF_flag","boolean","","Flag set for any failure in the debiased PSF model moments. Measured on y-band.","","",""
"y_inputCount","int","","Number of images contributing at center, not including any clipping. Forced on y-band.","","",""
"y_inputCount_flag","boolean","","Flag set for any failure in computing the number of inputs. Forced on y-band.","","",""
"y_inputCount_flag_noInputs","boolean","","No coadd inputs were recorded. Forced on y-band.","","",""
"y_invalidPsfFlag","boolean","","This object has an invalid PSF (usually no inputs). Measured on y-band.","","",""
"y_iPSF_flag","boolean","","Flag set for any failure in the PSF model moments. Measured on y-band.","","",""
"y_iRound_flag","boolean","","Flag set for any failure in the round moments. Measured on y-band.","","",""
"y_ixx","float","pixel**2","Gaussian-weighted adaptive moments. Measured on y-band.","","",""
"y_ixxDebiasedPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of the object, with synthetic noise added to match S/N with the object. Measured on y-band.","","",""
"y_ixxPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of this object. Measured on y-band.","","",""
"y_ixxRound","float","pixel**2","Adaptive moments using an isotropic Gaussian weight function. Measured on y-band.","","",""
"y_ixy","float","pixel**2","Gaussian-weighted adaptive moments. Measured on y-band.","","",""
"y_ixyDebiasedPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of the object, with synthetic noise added to match S/N with the object. Measured on y-band.","","",""
"y_ixyPSF","float","pixel**2","Gaussian-weighted adaptive moments. Measured on y-band.","","",""
"y_ixyRound","float","pixel**2","Adaptive moments using an isotropic Gaussian weight function. Measured on y-band.","","",""
"y_iyy","float","pixel**2","Gaussian-weighted adaptive moments. Measured on y-band.","","",""
"y_iyyDebiasedPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of the object, with synthetic noise added to match S/N with the object. Measured on y-band.","","",""
"y_iyyPSF","float","pixel**2","Gaussian-weighted adaptive moments of the PSF model at the position of this object. Measured on y-band.","","",""
"y_iyyRound","float","pixel**2","Adaptive moments using an isotropic Gaussian weight function. Measured on y-band.","","",""
"y_kronFlux","float","nJy","Flux measured within an elliptical aperture 2.5 times the Kron radius.  Measured on y-band.","","",""
"y_kronFlux_flag","boolean","","Flag set for any failure in the Kron photometry. Measured on y-band.","","",""
"y_kronFlux_flag_bad_radius","boolean","","Bad Kron radius. Measured on y-band.","","",""
"y_kronFlux_flag_bad_shape","boolean","","Shape for measuring Kron radius is bad; used PSF shape. Measured on y-band.","","",""
"y_kronFlux_flag_bad_shape_no_psf","boolean","","Bad shape and no PSF. Measured on y-band.","","",""
"y_kronFlux_flag_edge","boolean","","Bad measurement due to image edge. Measured on y-band.","","",""
"y_kronFlux_flag_no_fallback_radius","boolean","","No minimum radius and no PSF provided. Measured on y-band.","","",""
"y_kronFlux_flag_no_minimum_radius","boolean","","Minimum radius could not enforced, no minimum value or PSF. Measured on y-band.","","",""
"y_kronFlux_flag_small_radius","boolean","","Measured Kron radius was smaller than that of the PSF. Measured on y-band.","","",""
"y_kronFlux_flag_used_minimum_radius","boolean","","Used the minimum radius for the Kron radius. Measured on y-band.","","",""
